
Time; Magnitude; Temperature; Reference Altitude; Current Altitude; Pressure; Ejected?
15; 1.01; 29.3; 0.00; 0.05; 1018.84; No
15; 1.01; 29.3; 0.00; 0.02; 1018.85; No
15; 1.01; 29.3; 0.00; 0.07; 1018.84; No
15; 1.02; 29.3; 0.00; 1.07; 1018.48; No
15; 1.01; 29.3; 0.00; 0.07; 1018.84; No
15; 1.01; 29.3; 0.00; 0.14; 1018.81; No
15; 1.01; 29.3; 0.00; 0.14; 1018.81; No
15; 1.01; 29.3; 0.00; 0.06; 1018.84; No
15; 1.01; 29.3; 0.00; 0.06; 1018.84; No
16; 1.01; 29.3; 0.00; 0.02; 1018.84; No
16; 1.01; 29.3; 0.00; 0.02; 1018.85; No
16; 1.01; 29.3; 0.00; 0.07; 1018.84; No
16; 1.01; 29.3; 0.00; 0.13; 1018.82; No
16; 1.01; 29.3; 0.00; 0.03; 1018.83; No
16; 1.02; 29.3; 0.00; 0.08; 1018.83; No
16; 1.02; 29.3; 0.00; 0.08; 1018.84; No
16; 1.01; 29.3; 0.00; 0.09; 1018.83; No
16; 1.01; 29.3; 0.00; 0.18; 1018.84; No
16; 1.01; 29.3; 0.00; 0.13; 1018.82; No
17; 1.01; 29.3; 0.00; 0.04; 1018.85; No
17; 1.01; 29.3; 0.00; 0.34; 1018.74; No
17; 1.01; 29.3; 0.00; 0.11; 1018.85; No
17; 1.01; 29.3; 0.00; 0.03; 1018.85; No
17; 1.00; 28.8; 0.00; 0.05; 1018.85; No
17; 1.01; 29.3; 0.00; 0.78; 1018.58; No
17; 1.02; 29.3; 0.00; 0.14; 1018.83; No
17; 1.01; 29.3; 0.00; 0.10; 1018.83; No
17; 1.01; 29.3; 0.00; 0.13; 1018.82; No
17; 1.01; 29.3; 0.00; 1.64; 1018.27; No
18; 1.01; 29.3; 0.00; 0.17; 1018.81; No
18; 1.01; 29.3; 0.00; 0.08; 1018.84; No
18; 1.01; 29.3; 0.00; 0.10; 1018.83; No
18; 1.01; 29.3; 0.00; 0.39; 1018.72; No
18; 1.01; 29.3; 0.00; 0.02; 1018.86; No
18; 1.01; 29.3; 0.00; 0.08; 1018.84; No
18; 1.01; 29.3; 0.00; 0.11; 1018.82; No
18; 1.01; 29.3; 0.00; 0.10; 1018.83; No
18; 1.01; 29.3; 0.00; 0.12; 1018.82; No
18; 1.00; 29.3; 0.00; 0.07; 1018.84; No
18; 1.01; 29.3; 0.00; 0.14; 1018.81; No
19; 1.01; 29.3; 0.00; 0.08; 1018.83; No
19; 1.01; 29.3; 0.00; 0.08; 1018.84; No
19; 1.01; 29.3; 0.00; 0.10; 1018.83; No
19; 1.01; 29.3; 0.00; 0.03; 1018.85; No
19; 1.01; 29.3; 0.00; 0.05; 1018.84; No
19; 1.01; 29.3; 0.00; 0.11; 1018.82; No
19; 1.01; 28.8; 0.00; 0.16; 1018.84; No
19; 1.01; 29.3; 0.00; 0.09; 1018.83; No
19; 1.02; 29.3; 0.00; 0.04; 1018.85; No
19; 1.02; 29.3; 0.00; 0.08; 1018.83; No
20; 1.01; 29.3; 0.00; 0.07; 1018.84; No
20; 1.01; 29.3; 0.00; 0.07; 1018.84; No
20; 1.01; 29.3; 0.00; 0.08; 1018.84; No
20; 1.01; 29.3; 0.00; 0.55; 1018.66; No
20; 1.02; 29.3; 0.00; 0.09; 1018.82; No
20; 1.01; 29.3; 0.00; 0.01; 1018.86; No
20; 1.01; 29.3; 0.00; 0.02; 1018.85; No
20; 1.01; 29.3; 0.00; 1.67; 1018.26; No
20; 1.01; 29.3; 0.00; 0.12; 1018.81; No
20; 1.01; 29.3; 0.00; 0.12; 1018.82; No
21; 1.01; 28.8; 0.00; 0.04; 1018.85; No
21; 1.01; 29.3; 0.00; 1.12; 1018.46; No
21; 1.01; 37.6; 0.00; 0.04; 1018.85; No
21; 1.01; 28.8; 0.00; 0.04; 1018.85; No
21; 1.01; 29.3; 0.00; 0.01; 1018.86; No
21; 1.01; 29.3; 0.00; 0.08; 1018.83; No
21; 1.01; 29.3; 0.00; 0.07; 1018.84; No
21; 1.01; 29.3; 0.00; 0.05; 1018.86; No
21; 1.01; 29.3; 0.00; 0.10; 1018.83; No
21; 1.01; 28.8; 0.00; 0.09; 1018.83; No
22; 1.01; 29.3; 0.00; 0.02; 1018.86; No
22; 1.01; 29.3; 0.00; 0.13; 1018.83; No
22; 1.01; 28.8; 0.00; 0.05; 1018.85; No
22; 1.01; 29.3; 0.00; 0.14; 1018.81; No
22; 1.01; 28.8; 0.00; 0.10; 1018.83; No
22; 1.01; 29.3; 0.00; 0.11; 1018.84; No
22; 1.01; 29.3; 0.00; 0.06; 1018.84; No
22; 1.01; 29.3; 0.00; 0.03; 1018.85; No
22; 1.01; 29.3; 0.00; 0.07; 1018.84; No
22; 1.02; 29.3; 0.00; 0.09; 1018.84; No
23; 1.00; 29.3; 0.00; 0.05; 1018.85; No
23; 1.01; 29.3; 0.00; 0.02; 1018.86; No
23; 1.00; 28.8; 0.00; 1.28; 1018.40; No
23; 1.00; 29.3; 0.00; 0.10; 1018.84; No
23; 1.01; 28.8; 0.00; 0.02; 1018.86; No
23; 1.01; 28.8; 0.00; 0.13; 1018.82; No
23; 1.01; 28.8; 0.00; 1.57; 1018.30; No
23; 1.01; 29.3; 0.00; 0.02; 1018.84; No
23; 1.01; 29.3; 0.00; 0.15; 1018.81; No
23; 1.01; 29.3; 0.00; 0.05; 1018.85; No
24; 1.01; 29.3; 0.00; 0.92; 1018.53; No
24; 1.02; 29.3; 0.00; 0.13; 1018.82; No
24; 1.01; 29.3; 0.00; 0.08; 1018.84; No
24; 1.01; 29.3; 0.00; 0.09; 1018.83; No
24; 1.01; 28.8; 0.00; 0.13; 1018.82; No
24; 1.01; 29.3; 0.00; 0.05; 1018.85; No
24; 1.02; 29.3; 0.00; 0.10; 1018.83; No
24; 1.01; 28.8; 0.00; 0.11; 1018.83; No
24; 1.02; 29.3; 0.00; 0.08; 1018.83; No
24; 1.01; 29.3; 0.00; 0.06; 1018.84; No
25; 1.02; 29.3; 0.00; 0.08; 1018.84; No
25; 1.01; 29.3; 0.00; 0.10; 1018.83; No
25; 1.01; 29.3; 0.00; 0.08; 1018.84; No
