
49; 0.90; 30.53; 1014.47; -2054.12; No
49; 0.92; 30.54; 1014.44; -2053.91; No
49; 0.92; 30.54; 1014.43; -2053.82; No
49; 0.92; 30.55; 1014.45; -2054.03; No
49; 0.91; 30.55; 1014.46; -2054.08; No
49; 0.91; 30.55; 1014.44; -2053.89; No
49; 0.92; 30.55; 1014.43; -2053.82; No
49; 0.92; 30.55; 1014.46; -2054.14; No
49; 0.93; 30.55; 1014.44; -2053.91; No
49; 0.92; 30.54; 1014.44; -2053.90; No
50; 0.91; 30.55; 1014.43; -2053.82; No
50; 0.91; 30.55; 1014.45; -2053.99; No
50; 0.93; 30.55; 1014.44; -2053.84; No
50; 0.91; 30.35; 1014.16; -2051.42; No
50; 0.92; 30.54; 1014.42; -2053.72; No
50; 0.91; 30.55; 1014.43; -2053.80; No
50; 0.92; 30.54; 1014.44; -2053.85; No
50; 0.91; 30.30; 1014.08; -2050.71; No
50; 0.92; 30.55; 1014.45; -2053.99; No
50; 0.92; 30.55; 1014.46; -2054.04; No
51; 0.92; 30.55; 1014.45; -2053.99; No
51; 0.92; 30.55; 1014.43; -2053.77; No
51; 0.91; 30.56; 1014.44; -2053.91; No
51; 0.92; 30.56; 1014.45; -2053.98; No
51; 0.92; 30.55; 1014.46; -2054.01; No
51; 0.90; 30.55; 1014.45; -2053.96; No
51; 0.92; 30.56; 1014.47; -2054.12; No
51; 0.92; 30.56; 1014.45; -2053.95; No
51; 0.92; 30.56; 1014.44; -2053.95; No
51; 0.92; 30.56; 1014.46; -2054.05; No
51; 0.92; 30.56; 1014.45; -2053.99; No
52; 0.91; 30.56; 1014.44; -2053.87; No
52; 0.91; 30.56; 1014.44; -2053.81; No
52; 0.91; 30.56; 1014.45; -2053.93; No
52; 0.92; 30.55; 1014.43; -2053.79; No
52; 0.92; 30.57; 1014.47; -2054.13; No
52; 0.91; 30.56; 1014.45; -2053.93; No
52; 0.92; 30.57; 1014.46; -2054.01; No
52; 0.91; 30.35; 1014.15; -2051.38; No
52; 0.92; 30.56; 1014.44; -2053.90; No
52; 0.91; 30.56; 1014.46; -2054.03; No
53; 0.91; 30.57; 1014.43; -2053.81; No
53; 0.91; 30.40; 1014.20; -2051.77; No
53; 0.92; 30.57; 1014.46; -2054.04; No
53; 0.92; 30.57; 1014.46; -2054.04; No
53; 0.91; 30.56; 1014.42; -2053.66; No
53; 0.92; 30.56; 1014.44; -2053.90; No
53; 0.91; 30.57; 1014.45; -2053.92; No
53; 0.92; 30.56; 1014.41; -2053.65; No
53; 0.92; 30.57; 1014.43; -2053.78; No
53; 0.92; 30.57; 1014.45; -2053.92; No
54; 0.92; 30.56; 1014.41; -2053.58; No
54; 0.92; 30.57; 1014.44; -2053.84; No
54; 0.92; 30.57; 1014.42; -2053.88; No
54; 0.91; 30.57; 1014.44; -2053.84; No
54; 0.92; 30.57; 1014.46; -2054.01; No
